Hostname,Last Seen,First Seen,Platform,OS Version,OS Build,OS Product Name,Kernel Version,Model,Manufacturer,Type,Chassis,Last Reboot,OU,Site,Prevention Policy,Response Policy,Sensor Update Policy,USB Device Policy,Kubernetes Admission Control Policy,Host ID,Local IP,Connection IP,Default Gateway IP,External IP,Domain,MAC Address,Connection MAC Address,Status,CPUID,Serial Number,Sensor Version,Sensor Tags,Cloud Service Provider,Cloud Service Account ID,Cloud Service Instance ID,Cloud Service Zone/Group,Kubernetes Cluster ID,Kubernetes Server Git Version,Kubernetes Server Version,RFM,Linux Sensor Mode,Deployment Type,Email,Pod ID,Pod Name,Pod Namespace,Pod Labels,Pod Annotations,Pod IP4,Pod IP6,Pod Hostname,Pod Host IP4,Pod Host IP6,Pod Service Account Name,Host Groups
LOFT-SPW-3231,2023-09-11T14:42:31Z,2021-12-06T19:00:35Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-09T02:29:17Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 20:09 UTC","General-Response-Windows
06 Dec 21 19:05 UTC","General-Sensor-Windows
31 Aug 23 22:44 UTC",No policy,No policy,8b80c22dac3b47e2a6e46aca1571c602,192.168.1.105,192.168.1.105,192.168.1.1,131.0.51.231,,00-d7-6d-12-e9-6d,00-d7-6d-12-e9-6d,normal,526017,8KBPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-M0024,2023-08-22T18:23:49Z,2023-08-22T18:23:44Z,Mac,Monterey (12),21C52,,21.2.2000,"MacBookPro15,1",Apple Inc.,Workstation,Laptop,,,,"General-Prevention-Mac
Changes pending","General-Response-Mac
Changes pending","General-Sensor-Mac
Changes pending",No policy,No policy,05cb2face9d94258ac349a7940ac353d,,,,187.72.41.41,,,,normal,591594,C02XH2DPJG5K,6.42.15503.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Mac
LOFT-W6141,2023-09-11T12:40:38Z,2023-04-12T17:04:47Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-08-24T12:38:44Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 19:38 UTC","General-Response-Windows
12 Apr 23 17:06 UTC","General-Sensor-Windows
29 Aug 23 17:03 UTC",No policy,No policy,7df277ac1d6b49cabca1d64b4d856660,192.168.0.40,192.168.0.40,192.168.0.1,201.26.46.189,,00-d7-6d-5c-66-15,00-d7-6d-5c-66-15,normal,526017,HLJXPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-CWB-W1098,2023-09-11T13:42:39Z,2023-01-11T12:04:02Z,Windows,Windows 11,"2,26E+04",Windows 11 Pro,10.0.22621.2134,Aspire A515-54,Acer,Workstation,Laptop,2023-09-05T12:39:45Z,,,"General-Prevention-Windows-Workstation
29 Jun 23 14:00 UTC","General-Response-Windows
11 Jan 23 12:05 UTC","General-Sensor-Windows
29 Aug 23 15:01 UTC",No policy,No policy,6614bd0617b04e839dee75ab717af0c8,10.220.100.12,192.168.18.10,192.168.18.1,200.170.190.57,,00-09-0f-aa-00-01,48-51-c5-7a-d9-9c,normal,526060,NXHQMAL00T149075F89Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W6354,2023-09-11T14:48:56Z,2023-03-24T17:43:07Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-08-28T12:41:49Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:36 UTC","General-Response-Windows
24 Mar 23 17:44 UTC","General-Sensor-Windows
29 Aug 23 14:47 UTC",No policy,No policy,173c1d8356bd4b9cb02294cac49f92e9,192.168.0.7,192.168.0.7,192.168.0.1,187.72.41.41,,00-d7-6d-5f-a9-0b,00-d7-6d-5f-a9-0b,normal,526017,2YJXPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-CWB-W0630,2023-09-11T14:37:54Z,2022-12-15T18:30:55Z,Windows,Windows 11,22621,Windows 11 Home Single Language,10.0.22621.2134,Aspire A315-56,Acer,Workstation,Laptop,2023-09-11T11:28:20Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 19:24 UTC","General-Response-Windows
15 Dec 22 19:06 UTC","General-Sensor-Windows
29 Aug 23 14:37 UTC",No policy,No policy,9dd51b3373e64b1785c4d24dc2288eb0,192.168.15.14,192.168.15.14,192.168.15.1,177.95.232.169,,44-af-28-04-de-e5,44-af-28-04-de-e5,normal,460517,NXHV1AL00E1034BE299501,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-CWB-W0916,2023-09-11T14:31:38Z,2022-12-15T18:27:54Z,Windows,Windows 10,19045,Windows 10 Home Single Language,10.0.19045.3324,Aspire A515-54,Acer,Workstation,Laptop,2023-09-06T13:50:49Z,,,"General-Prevention-Windows-Workstation
28 Jun 23 20:34 UTC","General-Response-Windows
15 Dec 22 19:02 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,b0e28639bed445e38ef31cfbc0c2b748,192.168.1.102,192.168.1.102,192.168.1.1,45.225.126.2,,a4-63-a1-70-a2-2d,a4-63-a1-70-a2-2d,normal,526060,NXHQMAL009133000E69Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W2297,2023-08-09T13:52:48Z,2023-08-02T19:40:14Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.2673,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-08-02T19:51:38Z,,,"General-Prevention-Windows-Workstation
02 Aug 23 19:42 UTC","General-Response-Windows
02 Aug 23 19:42 UTC","General-Sensor-Windows
03 Aug 23 14:00 UTC",No policy,No policy,233de388e16e4f3baa0840ba86492dab,10.1.7.190,10.1.7.190,10.10.251.1,177.190.196.142,,70-cf-49-e4-67-22,70-cf-49-e4-67-22,normal,526060,JTVF4F3,6.49.16303.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Windows
LOFT-W3089,2023-09-11T13:35:12Z,2022-12-26T13:23:42Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-06T18:16:37Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:36 UTC","General-Response-Windows
26 Dec 22 13:25 UTC","General-Sensor-Windows
29 Aug 23 14:34 UTC",No policy,No policy,2837bb2a50a34da5a739d91e0e3e6b89,192.168.0.3,192.168.0.3,192.168.0.1,201.86.238.146,,00-d7-6d-12-c3-7f,00-d7-6d-12-c3-7f,normal,526017,8ZBPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-W3714,2023-08-02T18:03:36Z,2023-08-02T18:03:35Z,Windows,Windows 10,19044,Windows 10 Pro,10.0.19044.2604,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-08-02T18:06:29Z,,,"General-Prevention-Windows-Workstation
02 Aug 23 18:04 UTC","General-Response-Windows
02 Aug 23 18:04 UTC","General-Sensor-Windows
02 Aug 23 18:04 UTC",No policy,No policy,bc2cc3177cb04f1c8d00d8c7f5c51508,10.10.50.149,10.10.50.149,10.10.50.1,177.190.196.142,,00-d7-6d-2a-af-53,00-d7-6d-2a-af-53,normal,526017,BDGRQK3,6.49.16303.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Windows
